z_position,V_barrier,V_self_trapping,V_effective,psi_squared_density
3.8538538538538543,0.06286812404242714,-0.0035636032556466517,0.05930452078678049,0.00023757355037644343
3.8738738738738743,0.06256491131181306,-0.0032983341946996826,0.05926657711711338,0.00021988894631331217
3.8938938938938943,0.062261601297758234,-0.0030515880230844766,0.059210013274673755,0.0002034392015389651
3.9139139139139143,0.06195820963073865,-0.0028221694116767953,0.05913604021906185,0.00018814462744511968
3.9339339339339343,0.06165475187138181,-0.002608952627373325,0.05904579924400848,0.00017393017515822168
3.9539539539539543,0.061351243509251745,-0.002410878037072274,0.05894036547217947,0.00016072520247148493
3.9739739739739743,0.0610476999616488,-0.0022269487477285118,0.05882075121392029,0.00014846324984856744
3.9939939939939944,0.06074413657242438,-0.002056227379972219,0.05868790919245216,0.00013708182533148127
4.014014014014014,0.06044056861081079,-0.0018978329726099317,0.05854273563820086,0.00012652219817399545
4.034034034034034,0.06013701127026603,-0.0017509380151779883,0.05838607325508804,0.00011672920101186588
4.054054054054054,0.059833479667334016,-0.0016147656055896936,0.05821871406174432,0.00010765104037264624
4.074074074074074,0.059529988840519965,-0.0014885867298075268,0.05804140211071244,9.923911532050178e-05
4.094094094094094,0.05922655374918129,-0.0013717176603799753,0.05785483608880131,9.144784402533169e-05
4.114114114114114,0.05892318927243389,-0.0012635174706074049,0.05765967180182648,8.423449804049366e-05
4.134134134134134,0.05861991020807418,-0.0011633856610421933,0.057456524547031984,7.755904406947955e-05
4.1541541541541545,0.058316731271516625,-0.0010707598949837643,0.05724597137653286,7.138399299891762e-05
4.1741741741741745,0.05801366709474714,-0.0009851138395985176,0.05702855325514862,6.56742559732345e-05
4.1941941941941945,0.057710732225292244,-0.000905955109276661,0.05680477711601558,6.039700728511074e-05
4.2142142142142145,0.057407941125204136,-0.0008328233078318728,0.05657511781737226,5.552155385545819e-05
4.2342342342342345,0.057105308170061736,-0.0007652881661545455,0.05634002000390719,5.10192110769697e-05
4.2542542542542545,0.056802847647987764,-0.0007029477719442355,0.05609989987604353,4.686318479628237e-05
4.2742742742742745,0.05650057375868187,-0.0006454268881709552,0.055855146870510915,4.302845921139702e-05
4.2942942942942945,0.05619850061246998,-0.000592375356947388,0.055606125255522595,3.94916904631592e-05
4.314314314314315,0.05589664222936981,-0.0005434665855340361,0.055353175643835774,3.6231105702269074e-05
4.334334334334335,0.055595012538172665,-0.0004983961112461006,0.055096616426926565,3.3226407416406706e-05
4.354354354354355,0.055293625375541514,-0.0004568802420837984,0.054836745133457716,3.045868280558656e-05
4.374374374374375,0.05499249448512553,-0.00041865476996608993,0.054573839715159445,2.791031799773933e-05
4.394394394394395,0.05469163351669092,-0.000383473753510863,0.05430815976318006,2.5564916900724198e-05
4.414414414414415,0.05439105602526824,-0.0003511083673718461,0.054039947657896395,2.3407224491456404e-05
4.434434434434435,0.05409077547031626,-0.00032134581521332236,0.05376942965510294,2.1423054347554826e-05
4.454454454454455,0.05379080521490224,-0.0002939883034775317,0.05349681691142471,1.9599220231835447e-05
4.474474474474475,0.053491158524898885,-0.0002688520731760265,0.05322230645172286,1.7923471545068435e-05
4.494494494494495,0.05319184856819779,-0.00024576648701465486,0.052946082081183135,1.6384432467643657e-05
4.514514514514515,0.052892888413939514,-0.00022457316924184102,0.05266831524469767,1.4971544616122734e-05
4.534534534534535,0.052594291031760304,-0.00020512519569106474,0.052389165836069236,1.3675013046070982e-05
4.554554554554555,0.052296069291055486,-0.0001872863315704459,0.05210878295948504,1.2485755438029726e-05
4.574574574574575,0.051998235960259466,-0.0001709303146348257,0.05182730564562464,1.139535430898838e-05
4.594594594594595,0.051700803706142495,-0.00015594018145834922,0.05154486352468415,1.0396012097223282e-05
4.614614614614615,0.05140378509312404,-0.00014220763460800716,0.051261577458516026,9.480508973867144e-06
4.634634634634635,0.05110719258260291,-0.00012963244860061818,0.050977560134002294,8.642163240041213e-06
4.654654654654655,0.05081103853230412,-0.00011812191260707901,0.05069291661969704,7.874794173805267e-06
4.674674674674675,0.050515335195642344,-0.0001075903079481544,0.050407744887694186,7.172687196543626e-06
4.694694694694695,0.05022009472110222,-9.795841850544052e-05,0.05012213630259678,6.530561233696035e-06
4.714714714714715,0.04992532915163524,-8.915307224920813e-05,0.04983617607938603,5.943538149947208e-06
4.734734734734735,0.04963105042407341,-8.110671216148642e-05,0.049549943711911924,5.407114144099094e-06
4.754754754754755,0.0493372703685596,-7.375699490784189e-05,0.04926351337365176,4.917132993856126e-06
4.774774774774775,0.04904400070799447,-6.704641568470047e-05,0.04897695429230977,4.469761045646698e-06
4.794794794794795,0.0487512530575002,-6.092195774068986e-05,0.04869033109975951,4.061463849379324e-06
4.814814814814815,0.04845903892390073,-5.5334765140218615e-05,0.04840370415876051,3.688984342681241e-06
4.834834834834835,0.04816736970521868,-5.0239837405319476e-05,0.04811712986781336,3.349322493687965e-06
4.854854854854855,0.047876256690188905,-4.5595744737591135e-05,0.04783066094545131,3.039716315839409e-06
4.874874874874875,0.04758571105778853,-4.1364362585835155e-05,0.04754434669520269,2.75762417238901e-06
4.894894894894895,0.04729574387678357,-3.751062438667763e-05,0.04725823325239689,2.500708292445175e-06
4.914914914914915,0.0470063661052921,-3.400229136505726e-05,0.04697236381392705,2.2668194243371507e-06
4.934934934934935,0.04671758859036378,-3.0809738338947506e-05,0.04668677885202484,2.053982555929834e-06
4.954954954954955,0.04642942206757597,-2.7905754528056613e-05,0.04640151631304791,1.8603836352037741e-06
4.974974974974975,0.04614187716064609,-2.5265358419520798e-05,0.04611661180222657,1.684357227968053e-06
4.994994994994995,0.04585496438106046,-2.2865625794786944e-05,0.04583209875526567,1.5243750529857963e-06
5.015015015015015,0.04556869412771933,-2.0685530070991613e-05,0.045548008597648335,1.3790353380661074e-06
5.035035035035035,0.045283076686598304,-1.870579415720943e-05,0.0452643708924411,1.247052943813962e-06
5.055055055055055,0.04499812223042583,-1.6908753070996416e-05,0.044981213477354835,1.1272502047330943e-06
5.075075075075075,0.044713840818376954,-1.5278226603731383e-05,0.044698562591773225,1.0185484402487588e-06
5.095095095095095,0.04443024239578314,-1.3799401364397548e-05,0.04441644299441874,9.199600909598365e-07
5.115115115115115,0.04414733679385808,-1.2458721570693919e-05,0.04413487807228739,8.305814380462613e-07
5.135135135135135,0.04386513372943962,-1.1243787993768488e-05,0.04385388994144585,7.495858662512326e-07
5.155155155155155,0.043583642804747455,-1.0143264498469008e-05,0.043573499540248986,6.762176332312672e-07
5.175175175175175,0.04330287350715677,-9.146791654868745e-06,0.0432937267155019,6.09786110324583e-07
5.195195195195195,0.04302283520898765,-8.244906928991692e-06,0.043014590302058654,5.496604619327795e-07
5.215215215215215,0.042743537167310205,-7.428970991193441e-06,0.04273610819631901,4.952647327462294e-07
