time,zb_position
5.214,2.21829324971682
5.215,2.218290701105769
5.216,2.218292033747829
5.2170000000000005,2.218283207471772
5.218,2.2183010689733513
5.219,2.218342558243193
5.22,2.2183759013383164
5.221,2.21840470486925
5.222,2.218454153374702
5.223,2.2185039549513483
5.224,2.2185623409027335
5.2250000000000005,2.218626702868851
5.226,2.2186819765302217
5.227,2.2187216968595345
5.228,2.218756912752077
5.229,2.2188079039593096
5.23,2.2188313263972117
5.231,2.2188581738033633
5.232,2.218871388981107
5.2330000000000005,2.2188830548892824
5.234,2.218878181840684
5.235,2.2188773269835447
5.236,2.2188587864709723
5.237,2.2188173441321535
5.238,2.2187682875838153
5.239,2.21869401647708
5.24,2.218607884128918
5.2410000000000005,2.218532135194928
5.242,2.2184392854035293
5.243,2.218323736505774
