time,barrier_z,soliton_z,gamma
25.8,-9.999874044555819,-5.3664308,1.8
26.0,-9.9998879237689,-5.3556304,1.8
26.2,-9.999902254197032,-5.334982,1.8
26.400000000000002,-9.99991692371011,-5.3072214,1.8
26.6,-9.99993181816154,-5.2478304,1.8
26.8,-9.999946822314637,-5.2343144,1.8
27.0,-9.999961820781959,-5.2033653,1.8
27.2,-9.999976698941474,-5.14122,1.8
27.400000000000002,-9.99999134385822,-5.1161346,1.8
27.6,-10.000005645159343,-5.084465,1.8
27.8,-10.000019495892001,-5.0395994,1.8
28.0,-10.000032793361479,-4.972958,1.8
28.2,-10.000045439903728,-4.9384284,1.8
28.400000000000002,-10.000057343650905,-4.8965726,1.8
28.6,-10.000068419210415,-4.847713,1.8
28.8,-10.000078588306286,-4.7769914,1.8
29.0,-10.000087780356479,-4.720101,1.8
29.2,-10.000095932975666,-4.674989,1.8
29.400000000000002,-10.000102992432552,-4.6209164,1.8
29.6,-10.000108914001977,-4.554877,1.8
29.8,-10.00011366228147,-4.4979157,1.8
30.0,-10.000117211390991,-4.440664,1.8
30.2,-10.000119545123056,-4.3921576,1.8
30.400000000000002,-10.000120656999318,-4.358194,1.8
30.6,-10.000120550249397,-4.266362,1.8
30.8,-10.000119237725333,-4.2002716,1.8
31.0,-10.000116741715875,-4.1712737,1.8
31.2,-10.000113093722865,-4.153109,1.8
31.400000000000002,-10.000108334121343,-4.0856485,1.8
31.6,-10.000102511805048,-4.0063915,1.8
31.8,-10.00009568370993,-3.9466739,1.8
32.0,-10.000087914335875,-3.9408243,1.8
32.2,-10.00007927515281,-3.8982115,1.8
32.4,-10.000069843997535,-3.8639581,1.8
32.6,-10.000059704400895,-3.8181145,1.8
32.8,-10.000048944868794,-3.7910445,1.8
33.0,-10.000037658183235,-3.6875186,1.8
33.2,-10.000025940576839,-3.6470046,1.8
33.4,-10.000013891003169,-3.6720796,1.8
33.6,-10.000001610273515,-3.6408913,1.8
33.8,-9.99998920029235,-3.5800488,1.8
34.0,-9.999976763183806,-3.462688,1.8
34.2,-9.999964400511448,-3.4143891,1.8
34.4,-9.999952212463752,-3.4194314,1.8
34.6,-9.999940297047734,-3.403531,1.8
34.800000000000004,-9.99992874934235,-3.342785,1.8
35.0,-9.999917660737257,-3.2825806,1.8
35.2,-9.999907118271409,-3.178109,1.8
35.4,-9.999897203936133,-3.1407018,1.8
35.6,-9.999887994097294,-3.084856,1.8
35.800000000000004,-9.999879558896179,-3.034966,1.8
36.0,-9.999871961763835,-2.9821467,1.8
36.2,-9.999865258930544,-2.9282603,1.8
36.4,-9.99985949905621,-2.8570337,1.8
36.6,-9.999854722880604,-2.7659338,1.8
36.800000000000004,-9.999850962979911,-2.6826413,1.8
37.0,-9.999848243553913,-2.6056046,1.8
37.2,-9.999846580317268,-2.548848,1.8
37.4,-9.99984598042666,-2.488893,1.8
37.6,-9.999846442497184,-2.427623,1.8
37.800000000000004,-9.999847956675216,-2.333633,1.8
38.0,-9.999850504768121,-2.2426865,1.8
38.2,-9.99985406046436,-2.173821,1.8
